AGENT NAME,LOGIN ID,STAFFED TIME,AUX TIME,TIME IN STARTUP TIME,"TIME IN TRAIN, MEET, PROJECT",TIME IN CALL COACHING,TIME IN SYSTEM ISSUES,TIME IN CASE WORK,TIME IN EXTERNAL SUPPORT,TIME IN UNSCHEDULED BREAK,TIME IN LUNCH,TIME IN BREAK,TIME IN OTHER PRODUCTIVE WORK,TIME IN AUX 10-99,TEAM,MONTH,ACD CALLS,HELD CALLS,AVG. ACD TIME,AVG. CALL RELATED ACW TIME,AVG. TOTAL ACW TIME,AVG. NON-CALL RELATED ACW TIME,AVG. HOLD TIME,AVG. HANDLE TIME,AVAILABLE TIME,UNSCHEDULED AUX TIME,% ACD TIME,% CALL RELATED ACW,% TOTAL ACW,% UN-SCHEDULED AUX,ACD CALLS RELEASED,AVG. ACW TIME,% AGENT OCCUPANCY W/ ACW,% AGENT OCCUPANCY W/O ACW,EXTN IN CALLS,AVG. EXTN IN TIME,EXTN OUT CALLS,AVG. EXTN OUT TIME,ACD TIME,ACW TIME,AGENT RING TIME,OTHER TIME,SHRINKAGE,Performance,RISK
v18,15304,10058.5,2793.5,281.52,1219.88,0.07,12.62,0,0,137.65,483.22,658.55,0,0,PI_EL_PASO,4/1/2019,540,356,5.25,2.54,2.76,0.23,1.32,8.88,2481.22,620.87,0.58,16.74,18.25,6.6,198,2.54,66,45,0,0,214,1.04,2834.37,1493.08,22.32,434.02,27.7725307,90.97,20.6
v19,15317,10134.95,2345.3,538.98,397.7,0,32.9,0,0,95.23,648.75,631.73,0,0,PI_EL_PASO,4/1/2019,503,450,7.14,3.48,3.86,0.38,2.21,12.98,1360.27,743.98,0.66,19.24,21.34,7.83,473,3.48,83,58,1,13.28,327,1.66,3600.35,1943.25,13.93,871.85,23.14071604,59.63,31.1
v20,15318,7844.83,1495.92,121.13,282.73,0,0.25,0,0,51.7,540.72,499.38,0,0,PI_EL_PASO,4/1/2019,460,334,5.82,3.19,3.36,0.17,1.94,10.59,1461.92,592.42,0.63,20.78,21.89,8.07,434,3.19,76,52,1,0.12,131,0.79,2677.57,1546.05,12.97,650.42,19.06886446,73.9,34.59
v21,15321,10087.5,2211.45,315.15,443.37,0.08,78.63,0,0,48.35,648.3,677.57,0,0,PI_EL_PASO,4/1/2019,495,419,6.94,3.38,4.08,0.7,2.16,12.86,1693.23,696.65,0.64,18.66,22.54,7.4,412,3.38,79,54,0,0,264,1.37,3439.92,2021.07,17.02,704.82,21.92267658,61.67,32.81
v22,15402,9733.3,2788.35,221.88,1303.27,0,16.18,0,0,90.55,591.73,564.73,0,0,PI_EL_PASO,4/1/2019,514,357,5.9,3.4,4.26,0.86,1.7,11.34,1221.85,682.28,0.64,22.22,27.86,7.44,455,3.4,82,51,0,0,257,1.8,3030.95,2191.05,15.25,485.85,28.64752961,67.57,21.84
v23,15407,9969.65,2208.3,238.73,701.73,0,7.15,0,0,64,628.85,567.83,0,0,PI_EL_PASO,4/1/2019,572,553,5.94,3.25,3.45,0.2,1.65,10.98,1544.98,692.85,0.65,21.39,22.68,7.37,522,3.25,80,55,0,0,274,0.97,3397.83,1973.27,17.9,827.37,22.15022594,71.37,28.81
v24,15418,4642.7,1016.08,113.93,104.35,0,0,0,0,137.27,308.73,351.8,0,0,PI_EL_PASO,4/1/2019,228,181,6.66,3.42,3.64,0.22,1.85,11.76,952.37,446,0.6,18.62,19.8,10.39,130,3.42,73,50,0,0,93,0.88,1518.28,828.87,7.63,319.47,21.88554074,62.08,40.91
v25,15065,10288.65,2119.1,142.18,340.35,33.27,0,0,0,37.63,959.62,606.05,0,0,PI_TEAM_EADDY,4/1/2019,572,229,5.25,1.91,2.03,0.12,1.24,7.78,3793.35,997.25,0.54,11.76,12.47,10.3,369,1.91,54,40,5,4.12,138,1.22,3005.75,1160.92,35.67,173.87,20.59648253,91.33,40.93
v26,15066,7655.03,1825.57,102.3,204.27,33.95,0.95,0,0,278.33,728.45,477.32,0,0,PI_TEAM_EADDY,4/1/2019,394,167,3.53,3,3.4,0.4,1.22,7.44,2939.18,1006.78,0.33,17.06,19.3,14.03,275,3,50,27,7,2.53,109,1.14,1390.23,1339.67,24.73,135.65,23.84797969,79.24,49.9
v27,15068,10272.93,2087.97,222.3,322.63,36.97,13.23,0,0,22.72,860.7,609.42,0,0,PI_TEAM_EADDY,4/1/2019,546,196,5.58,2.11,2.65,0.54,1.02,8.59,3557.12,883.42,0.55,12.38,15.53,9.14,343,2.11,57,39,10,5.27,213,1.68,3047.17,1445.3,34.13,101.25,20.32497058,97.58,35.67
v28,15085,9706.22,2064.7,126.63,346.57,33.78,0,0,0,29.7,892.08,635.93,0,0,PI_TEAM_EADDY,4/1/2019,483,196,4.6,3.43,3.85,0.43,1.47,9.05,3361,921.78,0.43,19.04,21.41,10.16,368,3.43,57,33,1,5.33,118,1.91,2223.17,1860.65,30.95,165.75,21.27192666,73.09,44.64
v29,15116,10519.05,2221.52,273.8,250.63,37.32,17.18,0,0,54.27,954.62,633.67,0.03,0,PI_TEAM_EADDY,4/1/2019,671,304,4.28,1.78,2.06,0.28,1.3,6.93,3786.28,1008.88,0.5,12.45,14.41,10.21,276,1.78,55,39,7,3.64,236,1.56,2873.75,1382.8,40.37,214.33,21.1190174,85.87,41.53
v30,15259,9764.17,2286.57,277.13,274.4,54.07,10.97,81.22,0,69.95,818.67,686.08,14.08,0,PI_TEAM_EADDY,4/1/2019,508,288,5.07,2.59,3.1,0.5,1.32,8.92,3072.95,969.83,0.49,15.06,18,10.7,427,2.59,60,39,3,6.91,210,1.74,2588.42,1572.32,29.13,214.78,23.41796589,86.46,37.38
v31,15293,10603.33,2459.12,187.15,441.05,0,0,0,0,122.45,1034.05,674.42,0,0,PI_TEAM_EADDY,4/1/2019,508,142,4.07,4.81,5.23,0.41,1.94,9.84,3144.85,1156.5,0.36,25.77,27.98,11.65,391,4.81,61,29,0,0,154,1.17,2068.32,2655.1,31.83,244.12,23.19195951,47.96,51.78
v32,15377,10098.85,2470.52,175.87,229.12,0.03,79.92,0,0,397.53,953.23,634.77,0.05,0,PI_TEAM_EADDY,4/1/2019,445,252,5.23,2.88,3.29,0.41,2.12,9.72,3364.22,1350.77,0.42,13.88,15.86,14.27,336,2.88,56,37,2,3.69,134,1.84,2334.77,1465.07,27.73,436.55,24.46337949,77.5,47.55
v33,15463,8925.13,2177.22,204.7,150.83,31.92,10.38,51.35,0,251.38,848.73,612.83,15.08,0,PI_TEAM_EADDY,4/1/2019,471,153,3.63,2.66,3.31,0.65,0.92,7.24,3368.97,1151.47,0.35,15.42,19.21,13.88,373,2.66,50,28,4,1.05,111,1.79,1709.97,1559.13,28.77,81.08,24.39426653,83.74,47.49
v34,15526,10404.68,2658.7,284.53,262.68,33.8,55.52,0,0,184.87,1018.53,690.77,128,0,PI_TEAM_EADDY,4/1/2019,443,108,5.92,2.47,3.26,0.79,1.15,9.46,3592.13,1203.4,0.47,11.79,15.54,12.55,76,2.47,54,36,2,7.12,121,2.25,2623.05,1443.17,27.63,60,25.55292426,85.5,41.33
v35,4113,9856.15,3291.28,365.15,1496.88,0,8.7,0,0,31.18,777.18,612.18,0,0,PI_TEAM_LINDSAY,4/1/2019,443,339,7.25,4.18,4.59,0.41,1.56,13.03,858.58,808.37,0.69,23.89,26.23,8.74,370,4.18,87,57,2,3.02,175,1.05,3211.12,2032.32,60.5,402.35,33.39316062,48.57,22.9
v36,15016,7941.33,1631.42,190.78,137.27,0,58.68,5.32,0,49.5,726.45,463.42,0,0,PI_TEAM_LINDSAY,4/1/2019,553,232,7.45,2.12,2.29,0.17,0.64,10.01,817.68,781.27,0.94,15.97,17.26,10.45,170,2.12,87,67,2,0.67,143,0.85,4127.58,1267.12,16.17,81.37,20.54341023,88.44,27.56
v37,15023,9923.17,2522.62,135.85,711.73,0,24.65,0,0,66.18,912.48,671.72,0,0,PI_TEAM_LINDSAY,4/1/2019,683,273,5.57,1.8,2.12,0.32,1.43,8.26,1828.07,978.67,0.74,14.4,16.94,10.58,460,1.8,75,56,3,1.37,148,0.94,3803.4,1446.95,17.83,304.3,25.42151349,90.6,26.8
v38,15073,10065.37,3170.67,185.97,1134.78,0,26.52,0,0,406.77,809.03,607.6,0,0,PI_TEAM_LINDSAY,4/1/2019,610,334,4.53,2.77,3.14,0.37,0.8,8.1,1983.23,1215.8,0.55,20.29,23.01,12.86,550,2.77,71,44,0,0,170,0.58,2761.12,1915.35,17.42,217.58,31.50077941,85.9,27.37
v39,15087,9458.13,2562.63,302.47,713.6,32.75,0.18,0.27,0.03,92.22,865.88,555.23,0,0,PI_TEAM_LINDSAY,4/1/2019,645,350,5.96,2.57,2.81,0.24,1.52,9.6,793.53,958.37,0.79,20.28,22.2,10.76,469,2.57,89,63,2,6.03,188,1.1,3853.23,1810.87,15.05,422.82,27.09446793,83.97,21.2
v40,15127,10791.62,2687.78,259.32,468.58,104.4,0,0,0,241.87,1013.73,599.88,0,0,PI_TEAM_LINDSAY,4/1/2019,666,438,6.19,2.16,2.46,0.29,1.04,9.33,1928.97,1255.6,0.71,14.99,17.02,12.32,621,2.16,76,56,0,0,211,0.5,4134.52,1637.47,17.93,384.95,24.9061772,90.91,30.07
v41,15223,9165.07,2461.72,152.55,263.73,65.58,136.2,427.32,0,91.45,700.6,624.28,0,0,PI_TEAM_LINDSAY,4/1/2019,566,322,6.47,1.87,2.04,0.17,0.92,9.03,1636.03,1219.37,0.74,12.9,14.07,14.28,533,1.87,76,59,0,0,172,1.53,3661.85,1155.35,19.83,230.28,26.85980576,87.3,32.65
v42,15237,7199.78,1259.15,317.05,297.92,0,0,0,0,2.38,30.03,596.48,15.28,0,PI_TEAM_LINDSAY,4/1/2019,785,386,4.5,1.84,1.89,0.05,0.81,6.78,759.83,32.42,0.94,22.95,23.54,0.49,375,1.84,88,63,1,3.48,227,0.81,3531.72,1480.48,21.18,147.42,17.48872882,89.59,10.9
v43,15256,9330.37,1837.85,176.9,201.33,30.42,0,0,0,26.03,811.5,576.53,15.13,0,PI_TEAM_LINDSAY,4/1/2019,885,279,4.28,2.38,2.45,0.07,0.85,7,1347.82,837.53,0.74,24.79,25.48,9.58,795,2.38,82,53,1,2.4,226,0.46,3788.43,2167.72,24.68,163.87,19.69750396,91.73,28.05
v44,15298,9767.37,2511.4,308.52,415.95,0,157.92,0,0,149.45,903.7,575.87,0,0,PI_TEAM_LINDSAY,4/1/2019,601,273,6.55,2.56,2.74,0.18,2.07,10.23,1222.92,1053.15,0.75,17.54,18.74,11.46,170,2.56,83,61,2,4.25,131,1.81,3937.33,1644.42,12.48,438.82,25.71214155,81.32,27.63
v45,15524,10116.52,2155.05,193.88,349.58,60.98,6.62,0,0,38.97,854.43,650.58,0,0,PI_TEAM_LINDSAY,4/1/2019,552,340,7.96,3.17,3.44,0.27,1.47,12.31,1238.08,893.4,0.81,19.35,20.99,9.44,518,3.17,85,61,0,0,189,1.27,4395.55,1900.97,15.27,411.6,21.30228577,67.17,32.8
v46,15529,10704.25,2660.27,265.15,415.77,123.45,0,0,0,213.17,1010.38,632.35,0,0,PI_TEAM_LINDSAY,4/1/2019,767,443,4.52,2.55,2.9,0.35,0.78,7.87,2066.53,1223.55,0.61,20.54,23.33,12.15,691,2.55,75,47,1,3.33,277,0.62,3468.38,2224.15,21.42,263.5,24.85246514,88.6,31.03
v47,10798,9816.17,2175.05,187.63,272.4,31.38,63.07,0,0,154.23,866.32,600.02,0,0,PI_TEAM_ONLEY,4/1/2019,621,423,6.37,2.77,2.97,0.19,0.99,10.01,1487.78,1020.55,0.74,19.31,20.66,11.07,598,2.77,81,57,2,4.06,212,0.72,3958.15,1841.48,20.02,333.68,22.15782734,79.09,32.64
v48,15048,9553.42,2933.62,261.72,1269.1,35.27,1.87,0,0,5.37,818.03,542.27,0,0,PI_TEAM_ONLEY,4/1/2019,626,328,4.98,2.59,2.73,0.14,2.67,9.1,1115.57,823.4,0.67,21.06,22.18,9.14,548,2.59,84,58,1,3.47,176,1.96,3116.27,1709.33,13.37,665.27,30.7075372,89.29,14.49
v49,15051,9690.48,2401,255.97,228.85,120.85,174.7,0,0,117.82,934.28,568.53,0,0,PI_TEAM_ONLEY,4/1/2019,588,447,5.17,2.54,2.89,0.35,1.43,9.15,1998.58,1052.1,0.58,17.02,19.35,11.53,370,2.54,73,50,1,1.37,262,1.29,3048.42,1697.03,17.43,528.02,24.77689444,86.02,31.72
v50,15056,9997.1,2527.4,227.05,310.37,0,56.3,0,0,392.3,911.93,629.45,0,0,PI_TEAM_ONLEY,4/1/2019,675,478,5.38,2.67,3.03,0.36,1.33,9.35,1245.1,1304.23,0.67,19.87,22.58,13.92,573,2.67,84,57,1,1.52,265,0.98,3631.88,2045.03,19.05,528.63,25.28133159,82.39,31.88
v51,15075,10334.03,2403.77,244.27,250.63,131.07,55.87,0,0,158.15,946.72,617.07,0,0,PI_TEAM_ONLEY,4/1/2019,616,449,5.08,2.88,3.21,0.33,1.71,9.54,2154.4,1104.87,0.56,19.04,21.19,11.37,481,2.88,73,49,0,0,209,1.01,3131.32,1978.48,18.12,647.95,23.2607221,79.21,35.44
v52,15082,9924.23,2042.28,85.48,209.57,31.18,0,0,0,199.7,904.77,611.58,0,0,PI_TEAM_ONLEY,4/1/2019,863,513,4.45,2.27,2.55,0.28,0.47,7.29,1635.1,1104.47,0.71,21.64,24.28,11.86,685,2.27,79,52,0,0,260,0.39,3842,2202.97,27.47,174.42,20.578725,90.67,32.94
v53,15104,10308.42,2536.27,341.55,282.08,35.8,30.47,0,0,312.5,921.62,612.25,0,0,PI_TEAM_ONLEY,4/1/2019,781,466,6.33,1.28,1.52,0.24,0.67,8.25,1403.13,1234.12,0.88,10.64,12.67,12.73,727,1.28,82,67,3,0.18,323,1.18,4975.12,1188.27,23.98,181.65,24.60386752,81.86,31.53
v54,15115,8628.4,1899.45,148.6,206.7,83.22,5.9,0,0.12,138.7,775.75,540.47,0,0,PI_TEAM_ONLEY,4/1/2019,772,320,4.62,1.93,2.09,0.16,0.55,6.94,1426.83,914.45,0.76,19.15,20.71,11.31,252,1.93,79,55,1,0,213,0.79,3566.52,1614.8,18.52,102.28,22.01393074,87.87,31.21
v55,15131,2011.42,1846.07,93.5,1752.57,0,0,0,0,0,0,0,0,0,PI_TEAM_ONLEY,4/1/2019,0,4,0,0,0,0,0.7,0,16.1,0,0,0,57.64,0,0,0,90,0,0,0,8,13.12,0,149.2,0,0.05,91.7794394,0,0
v56,15198,9295.08,2838.22,139.65,1015.73,31.8,140.9,0,0,219.35,766.07,524.72,0,0,PI_TEAM_ONLEY,4/1/2019,460,293,5.94,3.57,5.09,1.52,1.05,11.69,1099.87,985.42,0.59,21.26,30.29,11.24,422,3.57,83,47,0,0,185,0.59,2731.62,2339.13,12.68,273.57,30.53464844,59.76,28.86
v57,15297,8474.97,2113.47,150.3,228.48,34.8,9.2,0,0,362.85,771.6,556.23,0,0,PI_TEAM_ONLEY,4/1/2019,614,455,5.89,2.39,2.64,0.25,1,9.28,734.7,1134.45,0.79,19.19,21.16,14.33,493,2.39,89,63,1,9.95,292,0.85,3626.82,1619.82,19.03,361.13,24.93778739,86.88,29.32
v58,15301,10284.37,2605.55,221.17,463.88,115.13,5.63,0,0.08,214.23,950.92,634.5,0,0,PI_TEAM_ONLEY,4/1/2019,745,308,5.69,1.66,1.82,0.15,2,8.34,1616.67,1165.15,0.78,13.67,14.94,12.07,182,1.66,79,62,2,1.77,195,1.27,4239.38,1355.17,14.15,453.45,25.33504726,87.6,28.88
v59,15514,4832.17,1163.62,120.63,248,0,18.8,0,0,62.35,450.68,263.15,0,0,PI_TEAM_ONLEY,4/1/2019,552,180,4.44,0.9,0.97,0.08,1.5,5.9,485.03,513.03,0.95,11.45,12.41,11.23,288,0.9,87,73,1,0.22,99,1.24,2450.72,536.4,8.55,187.85,24.08069253,67.67,31.86
v60,15515,10517.58,2088.42,106.52,294.38,69.53,0,0,0,7.05,986.83,624.1,0,0,PI_TEAM_ONLEY,4/1/2019,630,298,7.03,2.53,2.65,0.11,1.1,10.19,2094.58,993.88,0.77,16.74,17.49,10.05,151,2.53,75,56,0,0,167,0.89,4436.15,1666.37,17.12,214.95,19.85646888,82.41,34.95
v61,15540,10165.6,2399.37,360.47,469.85,0,28.37,0,0,122.93,773.62,644.13,0,0,PI_TEAM_ONLEY,4/1/2019,731,384,4.55,2.99,3.24,0.25,2.88,9.29,1189.15,896.55,0.61,24.16,26.14,9.42,638,2.99,85,55,1,7.02,203,1.7,3327.58,2366.38,12.92,870.2,23.60283702,82.31,25.07
v62,4121,9895.53,1994.48,175.5,190.15,55.67,46.25,0,0,0,917.93,608.98,0,0,PI_TEAM_SMITH,4/1/2019,650,348,7.58,1.87,1.94,0.07,1.24,10.19,1313.47,917.93,0.91,13.41,13.95,9.88,162,1.87,84,68,0,0,185,0.89,4945.88,1261.18,61.55,318.97,20.15536308,87.32,28.66
v63,15038,10634.98,2287.87,239.23,539.67,22.5,1.25,0,0,0,689.18,796.03,0,0,PI_TEAM_SMITH,4/1/2019,786,344,6.08,1.83,2.08,0.24,1.31,8.73,1580.73,689.18,0.86,15.54,17.58,7,198,1.83,81,62,1,0,196,0.93,4782.98,1631.32,16.42,335.67,21.51268738,92.67,21.31
v64,15041,8893.75,1867.33,264.57,177.25,0,34.9,0,0,18.4,822.88,549.33,0,0,PI_TEAM_SMITH,4/1/2019,679,402,5.85,2.09,2.44,0.35,1.29,9.06,1010.17,841.28,0.81,17.36,20.29,10.08,440,2.09,86,63,0,0,225,1.13,3989.62,1657.17,20.55,348.92,20.99598032,91.99,25.62
v48,15048,9553.42,2933.62,261.72,1269.1,35.27,1.87,0,0,5.37,818.03,542.27,0,0,PI_TEAM_SMITH,4/1/2019,626,328,4.98,2.59,2.73,0.14,2.67,9.1,1115.57,823.4,0.67,21.06,22.18,9.14,548,2.59,84,58,1,3.47,176,1.96,3116.27,1709.33,13.37,665.27,30.7075372,89.29,14.49
v65,15059,5744.97,1415.87,219.5,102.8,20.68,33.13,0,0,291.72,394.93,353.1,0,0,PI_TEAM_SMITH,4/1/2019,312,136,5.98,4.03,4.15,0.12,3.2,11.52,859.88,686.65,0.59,23.85,24.56,12.73,93,4.03,81,52,0,0,99,2.42,1864.6,1294.15,6.35,304.12,24.64538544,52.83,41.6
v66,15205,8724.6,1786.2,202.2,204.18,39.38,0,0,0,7.9,772.1,560.43,0,0,PI_TEAM_SMITH,4/1/2019,529,369,6.7,2.78,3.06,0.28,1.53,10.83,1286.83,780,0.75,18.54,20.41,9.55,479,2.78,82,59,0,0,230,0.97,3547.8,1616.32,15.15,472.3,20.4731449,79.27,31.25
v67,15230,6308.25,1576,619.72,62.77,31.6,0,0,0,28.45,458.55,374.77,0.15,0,PI_TEAM_SMITH,4/1/2019,427,270,6.34,2.98,3.09,0.11,0.99,10.05,489.23,487,0.77,21.82,22.61,8.21,387,2.98,90,62,0,0,172,1,2709.58,1320.05,16.78,196.6,24.98315698,79.36,20
v68,15251,9753.37,2199.87,218.62,149.65,54.22,0,0,0,257.13,915.7,604.55,0,0,PI_TEAM_SMITH,4/1/2019,578,394,6.56,1.91,2.08,0.17,1.93,9.96,1892.18,1172.83,0.71,12.34,13.46,12.82,516,1.91,75,60,0,0,201,1.06,3816.08,1204.28,15.63,625.32,22.55497331,84.6,36.25
v69,15270,8945.08,1929.2,98.1,276.15,32.67,15.2,0,0,140.7,810.85,555.53,0,0,PI_TEAM_SMITH,4/1/2019,535,445,5.16,2.99,3.27,0.28,1.18,9.41,2039.35,951.55,0.57,19.77,21.65,11.34,493,2.99,71,46,1,2.32,214,0.72,2762.87,1749.63,16.18,447.85,21.56716318,78.04,38.61
v70,15278,10300.48,3584.82,194,1891.33,40.37,6.55,0,0,95.08,803.38,554.1,0,0,PI_TEAM_SMITH,4/1/2019,507,346,6.67,1.74,1.97,0.22,0.63,9.06,2100.77,898.47,0.72,11.31,12.77,9.22,359,1.74,69,54,4,2.43,221,0.62,3385.87,997.73,79.42,151.88,34.80245581,89.92,16.38
v71,15286,10803.42,2234.6,267.5,211.32,51.52,13.62,0,0,40.73,994.73,655.18,0,0,PI_TEAM_SMITH,4/1/2019,794,352,6.69,1.66,1.97,0.31,1.31,9.24,1362.67,1035.47,0.9,13.34,15.86,10.2,740,1.66,84,66,0,0,251,1.3,5320.5,1567.4,17.18,301.07,20.68419075,84.55,29.57
v72,15308,9315.97,2030.7,312,230.57,41.4,24.9,0,0,11.38,855.77,554.68,0,0,PI_TEAM_SMITH,4/1/2019,622,347,6.51,2.27,2.52,0.25,1.87,10.08,1231.52,867.15,0.79,16.65,18.5,9.9,542,2.27,84,63,0,0,232,1.82,4048.73,1570.15,16.55,418.32,21.79805216,90.25,25.83
